Date,Price,Open,High,Low,Vol.,Change %
"Feb 23, 2018","43,267.20","43,746.75","43,797.11","43,014.03",96.11M,-0.60%
"Feb 22, 2018","43,528.51","42,701.29","43,627.86","42,384.18",67.53M,1.42%
"Feb 21, 2018","42,919.78","43,509.98","43,623.59","42,834.21",78.21M,-0.87%
"Feb 20, 2018","43,294.95","43,587.98","43,588.77","42,864.82",68.89M,-0.64%
"Feb 19, 2018","43,572.67","43,753.08","43,945.62","43,512.09",39.23M,-0.12%
"Feb 16, 2018","43,627.10","42,916.87","43,691.28","42,916.87",63.84M,1.59%
"Feb 15, 2018","42,942.35","43,377.08","43,451.31","42,859.85",83.85M,-0.95%
"Feb 14, 2018","43,353.04","43,675.68","43,781.77","43,215.72",77.84M,-0.77%
"Feb 13, 2018","43,690.36","43,582.09","43,878.33","43,548.81",61.85M,0.40%
"Feb 12, 2018","43,515.08","43,795.20","43,900.20","43,461.25",65.91M,-0.67%
"Feb 09, 2018","43,808.80","43,533.11","43,826.60","43,286.24",80.14M,0.30%
"Feb 08, 2018","43,679.87","44,079.12","44,151.54","43,629.82",96.62M,-0.94%
"Feb 07, 2018","44,096.49","44,039.51","44,299.87","44,034.24",108.92M,0.48%
"Feb 06, 2018","43,885.51","43,965.88","43,965.88","43,498.24",83.38M,-0.94%
"Feb 02, 2018","44,301.20","44,341.88","44,637.02","44,252.88",93.17M,0.10%
"Feb 01, 2018","44,255.48","44,103.07","44,436.39","44,103.07",70.70M,0.47%
"Jan 31, 2018","44,049.05","44,252.94","44,533.76","43,996.42",80.16M,-0.42%
"Jan 30, 2018","44,233.11","44,492.11","44,615.10","44,081.23",71.90M,-0.50%
"Jan 29, 2018","44,457.30","44,724.44","44,855.77","44,337.72",87.13M,-0.21%
"Jan 26, 2018","44,551.13","44,825.78","44,825.78","44,196.57",131.05M,-0.59%
"Jan 25, 2018","44,816.71","45,063.21","45,179.00","44,729.81",101.41M,-0.55%
"Jan 24, 2018","45,063.21","45,037.35","45,494.52","44,781.83",173.35M,0.35%
"Jan 23, 2018","44,907.20","44,897.69","44,970.78","44,465.31",113.42M,0.02%
"Jan 22, 2018","44,897.69","44,225.24","44,951.21","44,121.97",135.80M,1.63%
"Jan 19, 2018","44,178.83","43,647.33","44,203.13","43,609.16",97.36M,1.37%
"Jan 18, 2018","43,580.88","43,626.06","44,004.13","43,192.75",124.53M,0.51%
"Jan 17, 2018","43,358.97","42,936.43","43,386.27","42,874.39",64.03M,0.98%
"Jan 16, 2018","42,939.68","42,358.99","43,142.59","42,324.27",73.61M,1.40%
"Jan 15, 2018","42,347.49","42,891.16","42,897.82","42,270.38",55.75M,-1.37%
"Jan 12, 2018","42,933.72","43,426.86","43,436.20","42,754.30",108.96M,-1.06%
"Jan 11, 2018","43,395.28","43,693.60","43,824.02","43,140.94",163.18M,-0.54%
"Jan 10, 2018","43,630.74","42,888.33","43,659.45","42,881.88",143.75M,1.91%
"Jan 09, 2018","42,814.34","43,188.71","43,251.40","42,566.51",118.67M,-0.69%
"Jan 08, 2018","43,112.12","42,634.49","43,256.57","42,634.49",125.69M,1.38%
"Jan 05, 2018","42,523.99","41,876.62","42,584.96","41,821.85",109.96M,1.47%
"Jan 04, 2018","41,908.71","41,600.40","41,995.66","41,600.40",127.65M,0.88%
"Jan 03, 2018","41,544.27","41,539.93","41,819.75","41,289.17",150.64M,0.14%
"Jan 02, 2018","41,486.87","40,676.19","41,566.76","40,534.79",137.60M,1.91%
"Jan 01, 2018","40,711.04","40,470.44","40,815.96","40,169.62",51.41M,0.59%
"Dec 29, 2017","40,471.48","40,400.82","40,644.74","40,271.18",126.86M,0.25%
"Dec 28, 2017","40,371.31","40,235.08","40,463.66","40,031.34",94.20M,0.56%
"Dec 27, 2017","40,146.73","39,614.37","40,160.47","39,614.37",107.27M,1.57%
"Dec 26, 2017","39,525.75","39,524.24","39,719.13","39,293.37",89.19M,0.25%
"Dec 22, 2017","39,428.21","38,770.46","39,525.21","38,710.53",98.50M,1.84%
"Dec 21, 2017","38,715.77","38,216.76","38,793.99","38,014.84",81.30M,1.33%
"Dec 20, 2017","38,208.06","37,963.09","38,323.55","37,842.52",74.98M,0.76%
"Dec 19, 2017","37,919.42","38,418.88","38,443.12","37,768.25",55.91M,-1.21%
"Dec 18, 2017","38,383.97","38,660.09","38,703.15","38,337.37",25.41M,-0.68%
"Dec 15, 2017","38,645.90","38,214.21","38,919.03","38,192.70",94.86M,1.10%
"Dec 14, 2017","38,223.55","38,825.74","38,825.74","38,126.85",54.16M,-1.54%
"Dec 13, 2017","38,819.65","38,588.04","38,884.89","38,527.62",70.08M,0.76%
"Dec 12, 2017","38,525.11","38,504.71","38,620.66","37,736.73",107.74M,0.11%
"Dec 11, 2017","38,481.70","39,059.48","39,437.43","38,374.73",57.16M,-1.53%
"Dec 08, 2017","39,080.00","38,645.26","39,339.65","38,431.78",80.65M,0.76%
"Dec 07, 2017","38,784.66","39,880.82","39,880.82","38,769.09",71.11M,-2.81%
"Dec 06, 2017","39,907.32","39,960.06","40,062.62","39,825.23",49.27M,-0.10%
"Dec 05, 2017","39,945.41","40,072.17","40,084.97","39,892.34",67.87M,-0.26%
"Dec 04, 2017","40,049.80","40,048.76","40,131.37","39,931.52",47.29M,0.10%
"Nov 30, 2017","40,010.36","39,706.17","40,091.48","39,702.84",126.12M,0.85%
"Nov 29, 2017","39,672.89","39,647.23","39,760.50","39,462.71",73.09M,0.10%
"Nov 28, 2017","39,634.13","40,060.49","40,125.75","39,564.27",68.94M,-0.99%
"Nov 27, 2017","40,032.17","40,152.72","40,152.72","39,932.93",74.32M,-0.54%
"Nov 24, 2017","40,248.41","40,276.63","40,368.35","40,082.70",61.54M,-0.04%
"Nov 23, 2017","40,266.21","40,626.00","40,712.65","40,136.86",43.66M,-0.80%
"Nov 22, 2017","40,591.87","40,643.09","40,741.91","40,465.52",117.58M,0.11%
"Nov 21, 2017","40,548.83","40,353.11","40,603.55","40,271.53",43.46M,0.58%
"Nov 20, 2017","40,316.93","40,843.94","40,923.09","40,260.05",44.35M,-1.29%
"Nov 17, 2017","40,844.40","40,832.14","40,910.17","40,637.15",58.02M,0.08%
"Nov 16, 2017","40,813.31","40,705.44","40,886.03","40,686.62",51.54M,0.37%
"Nov 15, 2017","40,662.79","40,814.42","40,904.35","40,585.54",47.87M,-0.69%
"Nov 14, 2017","40,943.78","41,202.55","41,316.74","40,899.50",57.49M,-0.72%
"Nov 13, 2017","41,239.89","41,435.70","41,435.70","41,141.85",34.17M,-0.47%
"Nov 10, 2017","41,435.70","41,836.35","41,836.35","41,390.81",54.44M,-0.85%
"Nov 09, 2017","41,790.16","41,403.17","41,851.33","41,390.34",78.83M,1.29%
"Nov 08, 2017","41,259.16","41,037.59","41,293.80","40,970.62",57.22M,0.51%
"Nov 07, 2017","41,049.22","41,120.12","41,262.45","41,003.05",53.27M,0.04%
"Nov 06, 2017","41,030.77","41,160.67","41,232.17","40,928.27",45.75M,-0.08%
"Nov 03, 2017","41,064.00","40,506.92","41,115.50","40,453.03",60.90M,1.40%
"Nov 02, 2017","40,498.87","40,508.89","40,842.25","40,353.48",66.96M,0.11%
"Nov 01, 2017","40,453.64","39,662.80","40,558.97","39,660.13",63.51M,2.11%
"Oct 31, 2017","39,617.19","40,302.72","40,307.98","39,557.12",93.50M,-1.75%
"Oct 30, 2017","40,324.32","41,168.19","41,173.38","40,258.58",53.20M,-1.90%
"Oct 27, 2017","41,105.40","41,412.68","41,420.05","40,903.70",79.49M,-0.73%
"Oct 26, 2017","41,409.49","41,637.09","41,745.76","41,355.45",65.90M,-0.45%
